name,state,lat,lng
Miami,FL,25,7839,-80.2102
Tampa,FL,27,9942,-82.2102
Orlando,FL,28.4772,-81.3369
Jacksonville,FL,30.3322,-81.6749
Sarasota,FL,27.3386,-82.5431
Cape Coral,FL,26.6446,-81.9956
